INFO 2025-12-05 00:41:20,073 basehttp 13824 9180 "GET /analytics/ HTTP/1.1" 200 73872
INFO 2025-12-05 00:41:20,090 basehttp 13824 26296 - Broken pipe from ('127.0.0.1', 55316)
INFO 2025-12-05 00:41:20,214 basehttp 13824 9180 "GET /api/analytics-data/?range=today HTTP/1.1" 200 2117
INFO 2025-12-05 00:41:20,936 basehttp 13824 9180 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:21,026 basehttp 13824 23252 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:21,026 basehttp 13824 9180 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:21,051 basehttp 13824 6348 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:22,666 basehttp 13824 6348 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:22,760 basehttp 13824 9180 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:22,760 basehttp 13824 6348 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:22,786 basehttp 13824 23252 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:23,077 basehttp 13824 23252 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:41:23,150 basehttp 13824 23252 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:41:23,822 basehttp 13824 23252 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:23,918 basehttp 13824 23252 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:23,927 basehttp 13824 9180 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:23,932 basehttp 13824 6348 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:47,875 basehttp 13824 6348 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:47,954 basehttp 13824 6348 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:47,954 basehttp 13824 9180 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:47,981 basehttp 13824 23252 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:48,908 basehttp 13824 23252 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:48,996 basehttp 13824 23252 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:48,997 basehttp 13824 9180 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:49,016 basehttp 13824 6348 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:49,137 basehttp 13824 6348 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:49,220 basehttp 13824 6348 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:49,220 basehttp 13824 9180 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:49,246 basehttp 13824 23252 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:49,319 basehttp 13824 23252 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:49,396 basehttp 13824 23252 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:49,396 basehttp 13824 9180 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:49,428 basehttp 13824 6348 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:49,467 basehttp 13824 9180 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:49,525 basehttp 13824 6348 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:49,571 basehttp 13824 9180 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:49,578 basehttp 13824 23252 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:49,597 basehttp 13824 6348 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:49,682 basehttp 13824 9180 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:49,708 basehttp 13824 23252 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:49,708 basehttp 13824 6348 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:49,738 basehttp 13824 1804 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:49,814 basehttp 13824 1804 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:49,847 basehttp 13824 23252 - Broken pipe from ('127.0.0.1', 53819)
INFO 2025-12-05 00:41:49,853 basehttp 13824 6348 - Broken pipe from ('127.0.0.1', 60666)
INFO 2025-12-05 00:41:49,880 basehttp 13824 9180 - Broken pipe from ('127.0.0.1', 56047)
INFO 2025-12-05 00:41:49,906 basehttp 13824 22844 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:49,906 basehttp 13824 1804 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:49,930 basehttp 13824 3728 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:51,118 basehttp 13824 3728 "GET /realtime/ HTTP/1.1" 200 64105
INFO 2025-12-05 00:41:51,191 basehttp 13824 3728 "GET /api/realtime-monitoring/ HTTP/1.1" 200 1544
INFO 2025-12-05 00:41:51,651 basehttp 13824 3728 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:51,741 basehttp 13824 1804 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:51,755 basehttp 13824 3728 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:41:51,772 basehttp 13824 22844 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:58,990 basehttp 13824 22844 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:41:59,065 basehttp 13824 1804 "GET /api/recent-activity/ HTTP/1.1" 200 1010
INFO 2025-12-05 00:41:59,075 basehttp 13824 3728 "GET /api/parking-data/ HTTP/1.1" 200 11003
INFO 2025-12-05 00:41:59,111 basehttp 13824 22844 "GET /api/parking-status/ HTTP/1.1" 200 623
INFO 2025-12-05 00:42:00,033 basehttp 13824 22844 "GET / HTTP/1.1" 200 115377
INFO 2025-12-05 00:42:00,095 basehttp 13824 3728 "GET /api/parking-data/ HTTP/1.1" 200 11003
